Date,City,Country,% Change In Waze Driven Miles/KMs
10 ago. 2020,Monterrey,Mexico,-0.36
9 ago. 2020,Monterrey,Mexico,-0.66
8 ago. 2020,Monterrey,Mexico,-0.52
7 ago. 2020,Monterrey,Mexico,-0.52
6 ago. 2020,Monterrey,Mexico,-0.52
5 ago. 2020,Monterrey,Mexico,-0.52
4 ago. 2020,Monterrey,Mexico,-0.5
3 ago. 2020,Monterrey,Mexico,-0.44
2 ago. 2020,Monterrey,Mexico,-0.68
1 ago. 2020,Monterrey,Mexico,-0.53
31 jul. 2020,Monterrey,Mexico,-0.5
30 jul. 2020,Monterrey,Mexico,-0.54
29 jul. 2020,Monterrey,Mexico,-0.59
28 jul. 2020,Monterrey,Mexico,-0.53
27 jul. 2020,Monterrey,Mexico,-0.77
26 jul. 2020,Monterrey,Mexico,-0.68
25 jul. 2020,Monterrey,Mexico,-0.6
24 jul. 2020,Monterrey,Mexico,-0.57
23 jul. 2020,Monterrey,Mexico,-0.53
22 jul. 2020,Monterrey,Mexico,-0.6
21 jul. 2020,Monterrey,Mexico,-0.53
20 jul. 2020,Monterrey,Mexico,-0.48
19 jul. 2020,Monterrey,Mexico,-0.49
18 jul. 2020,Monterrey,Mexico,-0.51
17 jul. 2020,Monterrey,Mexico,-0.6
16 jul. 2020,Monterrey,Mexico,-0.53
15 jul. 2020,Monterrey,Mexico,-0.57
14 jul. 2020,Monterrey,Mexico,-0.59
13 jul. 2020,Monterrey,Mexico,-0.5
12 jul. 2020,Monterrey,Mexico,-0.56
11 jul. 2020,Monterrey,Mexico,-0.53
10 jul. 2020,Monterrey,Mexico,-0.54
9 jul. 2020,Monterrey,Mexico,-0.58
8 jul. 2020,Monterrey,Mexico,-0.58
7 jul. 2020,Monterrey,Mexico,-0.56
6 jul. 2020,Monterrey,Mexico,-0.45
5 jul. 2020,Monterrey,Mexico,-0.55
4 jul. 2020,Monterrey,Mexico,-0.6
3 jul. 2020,Monterrey,Mexico,-0.5
2 jul. 2020,Monterrey,Mexico,-0.48
1 jul. 2020,Monterrey,Mexico,-0.54
30 jun. 2020,Monterrey,Mexico,-0.55
29 jun. 2020,Monterrey,Mexico,-0.45
28 jun. 2020,Monterrey,Mexico,-0.53
27 jun. 2020,Monterrey,Mexico,-0.57
26 jun. 2020,Monterrey,Mexico,-0.54
25 jun. 2020,Monterrey,Mexico,-0.58
24 jun. 2020,Monterrey,Mexico,-0.59
23 jun. 2020,Monterrey,Mexico,-0.58
22 jun. 2020,Monterrey,Mexico,-0.41
21 jun. 2020,Monterrey,Mexico,-0.45
20 jun. 2020,Monterrey,Mexico,-0.51
19 jun. 2020,Monterrey,Mexico,-0.57
18 jun. 2020,Monterrey,Mexico,-0.55
17 jun. 2020,Monterrey,Mexico,-0.56
16 jun. 2020,Monterrey,Mexico,-0.56
15 jun. 2020,Monterrey,Mexico,-0.42
14 jun. 2020,Monterrey,Mexico,-0.52
13 jun. 2020,Monterrey,Mexico,-0.55
12 jun. 2020,Monterrey,Mexico,-0.62
11 jun. 2020,Monterrey,Mexico,-0.65
10 jun. 2020,Monterrey,Mexico,-0.74
9 jun. 2020,Monterrey,Mexico,-0.59
8 jun. 2020,Monterrey,Mexico,-0.5
7 jun. 2020,Monterrey,Mexico,-0.5
6 jun. 2020,Monterrey,Mexico,-0.55
5 jun. 2020,Monterrey,Mexico,-0.62
4 jun. 2020,Monterrey,Mexico,-0.63
3 jun. 2020,Monterrey,Mexico,-0.58
2 jun. 2020,Monterrey,Mexico,-0.63
1 jun. 2020,Monterrey,Mexico,-0.51
31 may. 2020,Monterrey,Mexico,-0.56
30 may. 2020,Monterrey,Mexico,-0.59
29 may. 2020,Monterrey,Mexico,-0.58
28 may. 2020,Monterrey,Mexico,-0.58
27 may. 2020,Monterrey,Mexico,-0.47
26 may. 2020,Monterrey,Mexico,-0.72
25 may. 2020,Monterrey,Mexico,-0.58
24 may. 2020,Monterrey,Mexico,-0.64
23 may. 2020,Monterrey,Mexico,-0.66
22 may. 2020,Monterrey,Mexico,-0.66
21 may. 2020,Monterrey,Mexico,-0.84
20 may. 2020,Monterrey,Mexico,-0.67
19 may. 2020,Monterrey,Mexico,-0.63
18 may. 2020,Monterrey,Mexico,-0.54
17 may. 2020,Monterrey,Mexico,-0.63
16 may. 2020,Monterrey,Mexico,-0.64
15 may. 2020,Monterrey,Mexico,-0.66
14 may. 2020,Monterrey,Mexico,-0.68
13 may. 2020,Monterrey,Mexico,-0.69
12 may. 2020,Monterrey,Mexico,-0.68
11 may. 2020,Monterrey,Mexico,-0.65
10 may. 2020,Monterrey,Mexico,-0.58
9 may. 2020,Monterrey,Mexico,-0.67
8 may. 2020,Monterrey,Mexico,-0.68
7 may. 2020,Monterrey,Mexico,-0.68
6 may. 2020,Monterrey,Mexico,-0.7
5 may. 2020,Monterrey,Mexico,-0.7
4 may. 2020,Monterrey,Mexico,-0.63
3 may. 2020,Monterrey,Mexico,-0.69
2 may. 2020,Monterrey,Mexico,-0.73
1 may. 2020,Monterrey,Mexico,-0.76
30 abr. 2020,Monterrey,Mexico,-0.68
29 abr. 2020,Monterrey,Mexico,-0.72
28 abr. 2020,Monterrey,Mexico,-0.72
27 abr. 2020,Monterrey,Mexico,-0.67
26 abr. 2020,Monterrey,Mexico,-0.75
25 abr. 2020,Monterrey,Mexico,-0.73
24 abr. 2020,Monterrey,Mexico,-0.74
23 abr. 2020,Monterrey,Mexico,-0.75
22 abr. 2020,Monterrey,Mexico,-0.73
21 abr. 2020,Monterrey,Mexico,-0.72
20 abr. 2020,Monterrey,Mexico,-0.65
19 abr. 2020,Monterrey,Mexico,-0.71
18 abr. 2020,Monterrey,Mexico,-0.72
17 abr. 2020,Monterrey,Mexico,-0.74
16 abr. 2020,Monterrey,Mexico,-0.76
15 abr. 2020,Monterrey,Mexico,-0.72
14 abr. 2020,Monterrey,Mexico,-0.73
13 abr. 2020,Monterrey,Mexico,-0.65
12 abr. 2020,Monterrey,Mexico,-0.73
11 abr. 2020,Monterrey,Mexico,-0.79
10 abr. 2020,Monterrey,Mexico,-0.81
9 abr. 2020,Monterrey,Mexico,-0.76
8 abr. 2020,Monterrey,Mexico,-0.73
7 abr. 2020,Monterrey,Mexico,-0.73
6 abr. 2020,Monterrey,Mexico,-0.67
5 abr. 2020,Monterrey,Mexico,-0.65
4 abr. 2020,Monterrey,Mexico,-0.69
3 abr. 2020,Monterrey,Mexico,-0.69
2 abr. 2020,Monterrey,Mexico,-0.7
1 abr. 2020,Monterrey,Mexico,-0.73
31 mar. 2020,Monterrey,Mexico,-0.65
30 mar. 2020,Monterrey,Mexico,-0.63
29 mar. 2020,Monterrey,Mexico,-0.73
28 mar. 2020,Monterrey,Mexico,-0.67
27 mar. 2020,Monterrey,Mexico,-0.68
26 mar. 2020,Monterrey,Mexico,-0.68
25 mar. 2020,Monterrey,Mexico,-0.69
24 mar. 2020,Monterrey,Mexico,-0.67
23 mar. 2020,Monterrey,Mexico,-0.6
22 mar. 2020,Monterrey,Mexico,-0.75
21 mar. 2020,Monterrey,Mexico,-0.6
20 mar. 2020,Monterrey,Mexico,-0.54
19 mar. 2020,Monterrey,Mexico,-0.49
18 mar. 2020,Monterrey,Mexico,-0.44
17 mar. 2020,Monterrey,Mexico,-0.33
16 mar. 2020,Monterrey,Mexico,-0.49
15 mar. 2020,Monterrey,Mexico,-0.1
14 mar. 2020,Monterrey,Mexico,-0.06
13 mar. 2020,Monterrey,Mexico,-0.06
12 mar. 2020,Monterrey,Mexico,-0.02
11 mar. 2020,Monterrey,Mexico,-0.08
10 mar. 2020,Monterrey,Mexico,-0.1
9 mar. 2020,Monterrey,Mexico,-0.19
8 mar. 2020,Monterrey,Mexico,0.06
7 mar. 2020,Monterrey,Mexico,0.03
6 mar. 2020,Monterrey,Mexico,0
5 mar. 2020,Monterrey,Mexico,0
4 mar. 2020,Monterrey,Mexico,-0.08
3 mar. 2020,Monterrey,Mexico,0.02
2 mar. 2020,Monterrey,Mexico,0.08
1 mar. 2020,Monterrey,Mexico,0.08
